,count
2144,28
2145,33
2146,35
2147,35
2148,34
2149,32
2150,32
2151,31
2152,32
2153,32
2154,33
2155,33
2156,33
2157,32
2158,30
2159,26
2160,21
2161,16
2162,12
2163,10
2164,9
2165,11
2166,13
2167,17
2168,21
2169,25
2170,28
2171,31
2172,33
2173,34
2174,34
2175,34
2176,33
2177,31
2178,31
2179,30
2180,29
2181,28
2182,25
2183,21
2184,17
2185,15
2186,13
2187,13
2188,13
2189,15
2190,18
2191,23
2192,28
2193,32
2194,34
2195,35
2196,34
2197,33
2198,32
2199,31
2200,30
2201,28
2202,26
2203,25
2204,24
2205,23
2206,22
2207,20
2208,17
2209,14
2210,12
2211,11
2212,11
2213,13
2214,16
2215,20
2216,24
2217,27
2218,30
2219,32
2220,34
2221,36
2222,37
2223,38
2224,37
2225,36
2226,34
2227,30
2228,26
2229,22
2230,18
2231,16
2232,15
2233,14
2234,13
2235,13
2236,12
2237,12
2238,13
2239,15
2240,17
2241,19
2242,21
2243,23
2244,25
2245,28
2246,32
2247,35
2248,38
2249,39
2250,38
2251,37
2252,34
2253,30
2254,26
2255,22
2256,19
2257,16
2258,14
2259,11
2260,10
2261,10
2262,11
2263,13
2264,18
2265,23
2266,29
2267,34
2268,37
2269,37
2270,36
2271,33
2272,32
2273,31
2274,31
2275,30
2276,30
2277,29
2278,27
2279,25
2280,21
2281,17
2282,14
2283,13
2284,14
2285,17
2286,20
2287,24
2288,27
2289,29
2290,32
2291,34
2292,35
2293,36
2294,36
2295,36
2296,35
2297,34
2298,33
2299,31
2300,29
2301,27
2302,25
2303,23
2304,21
2305,19
2306,18
2307,17
2308,16
2309,17
2310,17
2311,17
2312,17
2313,18
2314,19
2315,21
2316,23
2317,26
2318,28
2319,31
2320,34
2321,37
2322,39
2323,40
2324,40
2325,40
2326,39
2327,36
2328,32
2329,26
2330,21
2331,18
2332,16
2333,15
2334,16
2335,17
2336,19
2337,20
2338,22
2339,23
2340,25
2341,26
2342,26
2343,25
2344,24
2345,23
2346,21
2347,20
2348,19
2349,17
2350,16
2351,16
2352,15
2353,14
2354,13
2355,11
2356,11
2357,12
2358,16
2359,21
2360,25
2361,28
2362,30
2363,31
2364,31
2365,31
2366,29
2367,27
2368,26
2369,26
2370,28
2371,29
2372,29
2373,28
2374,25
2375,21
2376,17
2377,13
2378,10
2379,7
2380,7
2381,8
2382,11
2383,16
2384,20
2385,25
2386,28
2387,30
2388,32
2389,33
2390,35
2391,36
2392,36
2393,34
2394,31
2395,28
2396,26
2397,24
2398,23
2399,22
2400,21
2401,19
2402,16
2403,14
2404,11
2405,11
2406,13
2407,16
2408,20
2409,24
2410,28
2411,31
2412,35
2413,38
2414,40
2415,39
2416,37
2417,35
2418,35
2419,35
2420,34
2421,31
2422,26
2423,21
2424,17
2425,14
2426,11
2427,9
2428,9
2429,11
2430,15
2431,20
2432,25
2433,30
2434,32
2435,33
2436,33
2437,32
2438,31
2439,30
2440,30
2441,31
2442,32
2443,31
2444,29
2445,26
2446,23
2447,21
2448,19
2449,17
2450,16
2451,15
2452,14
2453,13
2454,15
2455,19
2456,24
2457,29
2458,31
2459,31
2460,30
2461,29
2462,28
2463,27
2464,25
2465,24
2466,23
2467,22
2468,22
2469,23
2470,23
2471,24
2472,23
2473,21
2474,18
2475,16
2476,14
2477,13
2478,14
2479,15
2480,17
2481,19
2482,21
2483,23
2484,25
2485,28
2486,29
2487,31
2488,32
2489,33
2490,34
2491,35
2492,35
2493,33
2494,29
2495,25
2496,22
2497,20
2498,19
2499,19
2500,20
2501,21
2502,22
2503,22
2504,20
2505,19
2506,20
2507,23
2508,26
2509,30
2510,33
2511,35
2512,37
2513,38
2514,37
2515,34
2516,30
2517,27
2518,24
2519,23
2520,22
2521,21
2522,20
2523,18
2524,15
2525,13
2526,13
2527,15
2528,18
2529,21
2530,24
2531,26
2532,28
2533,29
2534,31
2535,32
2536,33
2537,34
2538,33
2539,33
2540,32
2541,31
2542,28
2543,24
2544,19
2545,15
2546,12
2547,11
2548,11
2549,12
2550,15
2551,18
2552,21
2553,24
2554,26
2555,28
2556,29
2557,30
2558,30
2559,30
2560,30
2561,31
2562,32
2563,32
2564,30
2565,28
2566,24
2567,21
2568,17
2569,15
2570,14
2571,14
2572,15
2573,16
2574,18
2575,20
2576,22
2577,23
2578,25
2579,26
2580,27
2581,27
2582,28
2583,28
2584,29
2585,29
2586,30
2587,31
2588,30
2589,28
2590,24
2591,20
2592,16
2593,14
2594,12
2595,11
2596,10
2597,11
2598,13
2599,16
2600,19
2601,22
2602,24
2603,25
2604,26
2605,26
2606,27
2607,29
2608,29
2609,30
2610,29
2611,27
2612,24
2613,21
2614,20
2615,19
2616,18
2617,16
2618,14
2619,12
2620,12
2621,13
2622,16
2623,20
2624,24
2625,28
2626,30
2627,32
2628,34
2629,34
2630,33
2631,31
2632,30
2633,29
2634,30
2635,30
2636,29
2637,27
2638,25
2639,23
2640,21
2641,18
2642,15
2643,13
2644,11
2645,11
2646,13
2647,17
2648,22
2649,26
2650,29
2651,30
2652,29
2653,28
2654,26
2655,26
2656,27
2657,28
2658,30
2659,30
2660,29
2661,27
2662,25
2663,24
2664,22
2665,21
2666,20
2667,18
2668,17
2669,15
2670,15
2671,15
2672,15
2673,17
2674,19
2675,22
2676,24
2677,25
2678,27
2679,28
2680,29
2681,29
2682,28
2683,27
2684,26
2685,24
2686,20
2687,17
2688,15
2689,13
2690,12
2691,12
2692,13
2693,15
2694,18
2695,21
2696,24
2697,27
2698,30
2699,32
2700,34
2701,35
2702,37
2703,38
2704,38
2705,36
2706,34
2707,31
2708,28
2709,24
2710,21
2711,19
2712,18
2713,17
2714,16
2715,15
2716,14
2717,14
2718,16
2719,20
2720,26
2721,31
2722,34
2723,35
2724,34
2725,33
2726,33
2727,34
2728,34
2729,34
2730,33
2731,32
2732,30
2733,29
2734,27
2735,24
2736,20
2737,16
2738,13
2739,12
2740,12
2741,14
2742,18
2743,22
2744,26
2745,29
2746,31
2747,32
2748,33
2749,34
2750,34
2751,34
2752,34
2753,34
2754,34
2755,33
2756,32
2757,29
2758,25
2759,20
2760,17
2761,14
2762,13
2763,13
2764,13
2765,14
2766,15
2767,18
2768,23
2769,28
2770,32
2771,35
2772,35
2773,34
2774,32
2775,32
2776,33
2777,33
2778,33
2779,31
2780,28
2781,25
2782,24
2783,22
2784,20
2785,17
2786,14
2787,11
2788,10
2789,10
2790,12
2791,15
2792,18
2793,21
2794,23
2795,25
2796,26
2797,28
2798,30
2799,33
2800,35
2801,35
2802,35
2803,33
2804,32
2805,31
2806,30
2807,28
2808,26
2809,22
2810,18
2811,14
2812,12
2813,10
2814,11
2815,13
2816,16
2817,19
2818,21
2819,22
2820,23
2821,23
2822,24
2823,26
2824,28
2825,30
2826,31
2827,31
2828,30
2829,28
2830,26
2831,24
2832,23
2833,20
2834,17
2835,13
2836,10
2837,9
2838,10
2839,13
2840,17
2841,21
2842,25
2843,28
2844,29
2845,30
2846,32
2847,34
2848,37
2849,38
2850,37
2851,35
2852,32
2853,27
2854,24
2855,21
2856,20
2857,19
2858,18
2859,16
2860,14
2861,14
2862,16
2863,21
2864,27
2865,33
2866,35
2867,37
2868,38
2869,39
2870,40
2871,39
2872,37
2873,34
2874,30
2875,28
2876,27
2877,25
2878,21
2879,18
2880,15
2881,13
2882,12
2883,12
2884,12
2885,13
2886,15
2887,18
2888,22
2889,24
2890,26
2891,27
2892,27
2893,28
2894,29
2895,30
2896,30
2897,31
2898,31
2899,32
2900,31
2901,29
2902,26
2903,21
2904,17
2905,14
2906,13
2907,12
2908,13
2909,14
2910,15
2911,17
2912,20
2913,23
2914,28
2915,34
2916,39
